Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total shots,Total shots(on target),Outside penalty area shots,Outside penalty area shots(on target),Positional attacks,Positional attacks w/ shots,Counterattacks,Counterattacks w/ shots,Set pieces,Set pieces w/ shots,Free kicks,Free kicks w/ shots,Penalties,Penalties(converted),Crosses,Crosses(accurate),Penalty area entries (runs),Penalty area entries (crosses),Touches in penalty area,Offensive duels,Offensive duels won,Offsides
2024-11-23,UCLA Bruins - Virginia Tech Hokies 1:2,United States. NCAA D1 College Cup (W),100,UCLA Bruins,4-4-2 (100.0%),1,0.97,10,4,3,2,47,7,0,0,25,2,5,0,0,0,24,4,31,6,20,166,44,4
2024-11-23,UCLA Bruins - Virginia Tech Hokies 1:2,United States. NCAA D1 College Cup (W),100,Virginia Tech Hokies,3-4-2-1 (100.0%),2,0.65,4,4,0,0,28,3,0,0,19,1,0,0,0,0,14,4,15,4,8,64,21,0
2024-11-16,California Baptist Lancers - UCLA Bruins 1:2 (E),United States. NCAA D1 College Cup (W),119,UCLA Bruins,4-1-4-1 (100.0%),2,2.56,17,3,7,0,48,11,0,0,35,3,3,0,1,1,17,1,36,8,21,153,66,0
2024-11-16,California Baptist Lancers - UCLA Bruins 1:2 (E),United States. NCAA D1 College Cup (W),119,California Baptist Lancers,4-2-3-1 (100.0%),1,0.88,5,3,2,1,14,1,1,1,25,3,6,1,0,0,6,1,14,1,7,95,31,3
2024-11-10,UCLA Bruins - Rutgers Scarlet Knights 5:0,United States. NCAA D1 Big Ten (W),94,UCLA Bruins,4-1-4-1 (100.0%),5,2.6,13,7,5,1,37,12,0,0,14,1,1,0,0,0,12,6,22,7,17,107,38,4
2024-11-10,UCLA Bruins - Rutgers Scarlet Knights 5:0,United States. NCAA D1 Big Ten (W),94,Rutgers Scarlet Knights,4-1-4-1 (100.0%),0,0.06,3,1,3,1,12,2,0,0,21,1,2,0,0,0,0,0,5,0,1,53,17,1
2024-11-07,UCLA Bruins - Washington Huskies 2:0,United States. NCAA D1 Big Ten (W),97,UCLA Bruins,4-2-3-1 (100.0%),2,2.58,21,7,8,3,40,14,0,0,25,5,4,0,0,0,16,4,35,12,41,165,79,1
2024-11-07,UCLA Bruins - Washington Huskies 2:0,United States. NCAA D1 Big Ten (W),97,Washington Huskies,4-1-4-1 (90.27%),0,0.12,2,2,2,2,19,2,0,0,20,0,5,0,0,0,7,2,12,3,10,66,22,2
2024-11-04,UCLA Bruins - Penn State Nittany Lion 1:0,United States. NCAA D1 Big Ten (W),97,UCLA Bruins,4-3-3 (100.0%),1,1.09,16,4,12,1,35,10,2,1,20,5,1,0,0,0,12,4,19,8,15,119,43,1
2024-11-04,UCLA Bruins - Penn State Nittany Lion 1:0,United States. NCAA D1 Big Ten (W),97,Penn State Nittany Lion,3-4-2-1 (100.0%),0,0.3,7,2,4,1,26,5,0,0,28,1,3,0,0,0,10,5,11,0,4,96,30,1
2024-10-27,USC Trojans - UCLA Bruins 1:0,United States. NCAA D1 Big Ten (W),89,UCLA Bruins,4-3-3 (100.0%),0,0.23,3,1,1,0,22,1,0,0,23,2,0,0,0,0,12,3,18,2,5,82,23,2
2024-10-27,USC Trojans - UCLA Bruins 1:0,United States. NCAA D1 Big Ten (W),89,USC Trojans,4-1-4-1 (100.0%),1,0.91,9,3,4,1,29,4,0,0,25,4,4,1,0,0,8,5,19,4,11,95,23,1
2024-10-20,UCLA Bruins - Ohio State Buckeyes 1:0,United States. NCAA D1 Big Ten (W),105,UCLA Bruins,4-1-4-1 (100.0%),1,1.79,17,6,7,3,34,12,0,0,26,3,3,0,1,1,13,2,28,14,22,108,39,1
2024-10-20,UCLA Bruins - Ohio State Buckeyes 1:0,United States. NCAA D1 Big Ten (W),105,Ohio State Buckeyes,4-2-3-1 (100.0%),0,0.42,4,2,1,0,22,4,0,0,15,0,0,0,0,0,5,1,15,2,7,99,24,1
2024-10-18,UCLA Bruins - Penn State Nittany Lion 0:0,United States. NCAA D1 Big Ten (W),98,UCLA Bruins,4-2-3-1 (100.0%),0,1.41,21,8,12,5,49,20,0,0,20,1,2,1,0,0,7,1,26,11,23,139,54,0
2024-10-18,UCLA Bruins - Penn State Nittany Lion 0:0,United States. NCAA D1 Big Ten (W),98,Penn State Nittany Lion,3-4-3 (100.0%),0,0.11,3,2,3,2,19,3,0,0,20,0,0,0,0,0,5,4,11,4,7,71,26,4
2024-10-13,Illinois Fighting Illini - UCLA Bruins 1:3,United States. NCAA D1 Big Ten (W),97,UCLA Bruins,4-3-3 (100.0%),3,2.06,15,8,7,3,47,11,0,0,23,3,0,0,1,1,7,3,24,9,24,167,62,1
2024-10-13,Illinois Fighting Illini - UCLA Bruins 1:3,United States. NCAA D1 Big Ten (W),97,Illinois Fighting Illini,4-1-3-2 (100.0%),1,0.07,4,1,3,1,20,3,0,0,26,1,4,1,0,0,7,1,12,1,4,77,28,2
2024-10-11,Northwestern Wildcats - UCLA Bruins 0:1,United States. NCAA D1 Big Ten (W),95,UCLA Bruins,3-5-2 (100.0%),1,1.21,10,5,7,4,34,4,0,0,24,3,3,0,0,0,14,2,19,5,16,148,48,1
2024-10-11,Northwestern Wildcats - UCLA Bruins 0:1,United States. NCAA D1 Big Ten (W),95,Northwestern Wildcats,3-4-1-2 (100.0%),0,0.1,4,2,2,1,31,4,0,0,20,0,1,0,0,0,11,0,11,1,3,81,25,5
2024-10-06,UCLA Bruins - Washington Huskies 1:0,United States. NCAA D1 Big Ten (W),101,UCLA Bruins,5-3-2 (18.56%),1,1,14,5,8,2,23,9,0,0,22,5,1,0,0,0,11,2,22,5,15,154,55,1
2024-10-06,UCLA Bruins - Washington Huskies 1:0,United States. NCAA D1 Big Ten (W),101,Washington Huskies,4-2-3-1 (100.0%),0,1.37,17,2,9,1,58,14,2,1,12,2,0,0,0,0,17,7,27,3,13,94,29,1
2024-09-29,UCLA Bruins - Minnesota Golden Gophers 3:1,United States. NCAA D1 Big Ten (W),103,UCLA Bruins,4-1-3-2 (100.0%),3,1.36,15,9,9,5,50,13,0,0,30,2,1,0,0,0,19,3,25,6,11,145,56,1
2024-09-29,UCLA Bruins - Minnesota Golden Gophers 3:1,United States. NCAA D1 Big Ten (W),103,Minnesota Golden Gophers,4-1-3-2 (100.0%),1,0.59,10,2,7,1,24,6,0,0,23,3,8,2,0,0,8,1,14,0,6,63,24,5
2024-09-27,UCLA Bruins - Wisconsin Badgers 0:0,United States. NCAA D1 Big Ten (W),93,UCLA Bruins,4-2-3-1 (100.0%),0,1.09,11,5,7,4,45,7,1,1,24,3,2,1,0,0,13,0,20,4,13,126,30,3
2024-09-27,UCLA Bruins - Wisconsin Badgers 0:0,United States. NCAA D1 Big Ten (W),93,Wisconsin Badgers,4-1-4-1 (100.0%),0,0.03,2,0,2,0,19,1,0,0,28,0,2,0,0,0,2,0,8,0,1,69,14,2
2024-09-22,Purdue Boilermakers - UCLA Bruins 0:2,United States. NCAA D1 Big Ten (W),98,UCLA Bruins,4-2-3-1 (37.75%),2,0.99,16,8,5,4,35,10,1,1,25,5,2,1,0,0,9,3,20,7,22,128,50,2
2024-09-22,Purdue Boilermakers - UCLA Bruins 0:2,United States. NCAA D1 Big Ten (W),98,Purdue Boilermakers,4-5-1 (100.0%),0,0.72,6,2,0,0,17,4,1,0,22,2,3,1,0,0,5,2,11,5,10,78,16,1
2024-09-20,Indiana Hoosiers - UCLA Bruins 0:1,United States. NCAA D1 Big Ten (W),100,UCLA Bruins,4-2-3-1 (100.0%),1,0.61,15,6,11,6,35,10,0,0,23,5,3,1,0,0,16,4,23,6,14,105,41,1
2024-09-20,Indiana Hoosiers - UCLA Bruins 0:1,United States. NCAA D1 Big Ten (W),100,Indiana Hoosiers,5-3-2 (50.13%),0,0.18,5,1,3,1,20,3,0,0,18,2,4,0,0,0,12,7,15,1,4,66,19,1
2024-09-15,Oregon Ducks - UCLA Bruins 1:2,United States. NCAA D1 Big Ten (W),101,UCLA Bruins,4-1-4-1 (100.0%),2,2.95,26,10,15,6,56,17,0,0,24,7,1,0,1,1,26,6,48,18,51,124,58,1
2024-09-15,Oregon Ducks - UCLA Bruins 1:2,United States. NCAA D1 Big Ten (W),101,Oregon Ducks,4-4-2 (100.0%),1,0.63,7,3,2,0,8,4,2,2,23,1,0,0,0,0,5,2,7,1,7,54,15,2
2024-09-08,Kentucky Wildcats - UCLA Bruins 2:0,United States. NCAA D1 Non-conference matches (W),99,UCLA Bruins,4-2-3-1 (100.0%),0,1.4,14,3,9,3,40,9,1,1,18,4,2,1,0,0,12,5,15,3,13,108,35,0
2024-09-08,Kentucky Wildcats - UCLA Bruins 2:0,United States. NCAA D1 Non-conference matches (W),99,Kentucky Wildcats,4-4-2 (100.0%),2,1.32,9,4,5,3,26,6,0,0,23,1,7,0,1,1,9,4,12,1,8,88,27,2
2024-09-06,Tennessee Vols - UCLA Bruins 0:0,United States. NCAA D1 Non-conference matches (W),95,UCLA Bruins,4-2-3-1 (100.0%),0,1.55,16,4,12,2,35,11,1,1,18,4,0,0,0,0,6,3,21,5,15,116,47,0
2024-09-06,Tennessee Vols - UCLA Bruins 0:0,United States. NCAA D1 Non-conference matches (W),95,Tennessee Vols,4-4-2 (100.0%),0,0.76,6,5,4,3,26,3,3,2,26,1,2,0,0,0,14,2,15,2,11,89,22,0
2024-09-01,Pepperdine Waves - UCLA Bruins 1:0,United States. NCAA D1 Non-conference matches (W),101,UCLA Bruins,4-1-4-1 (75.36%),0,1.39,11,6,5,2,31,5,0,0,34,5,1,0,0,0,9,3,23,6,15,90,20,1
2024-09-01,Pepperdine Waves - UCLA Bruins 1:0,United States. NCAA D1 Non-conference matches (W),101,Pepperdine Waves,4-2-3-1 (100.0%),1,0.91,10,2,5,0,30,6,0,0,22,4,1,2,0,0,16,5,16,3,10,60,13,4
2024-08-29,UCLA Bruins - BYU Cougars 1:0,United States. NCAA D1 Non-conference matches (W),98,UCLA Bruins,4-2-1-3 (90.96%),1,3.28,16,7,6,3,43,10,0,0,29,6,0,0,0,0,16,3,23,5,19,134,42,4
2024-08-29,UCLA Bruins - BYU Cougars 1:0,United States. NCAA D1 Non-conference matches (W),98,BYU Cougars,4-4-2 (100.0%),0,0.6,11,3,6,2,24,10,0,0,23,1,1,0,0,0,12,3,18,3,9,86,23,2
2024-08-26,UCLA Bruins - Santa Clara Broncos 1:0,United States. NCAA D1 Non-conference matches (W),103,UCLA Bruins,4-1-4-1 (100.0%),1,0.7,16,10,13,8,35,13,0,0,15,3,1,0,0,0,11,5,19,3,7,97,32,1
2024-08-26,UCLA Bruins - Santa Clara Broncos 1:0,United States. NCAA D1 Non-conference matches (W),103,Santa Clara Broncos,4-4-2 (100.0%),0,0.4,5,2,3,1,30,3,0,0,21,1,2,0,0,0,8,3,19,2,7,74,25,1
2024-08-23,Cal Poly Mustangs - UCLA Bruins 0:1,United States. NCAA D1 Non-conference matches (W),94,UCLA Bruins,4-2-3-1 (33.8%),1,1.14,16,6,4,2,46,12,1,1,24,3,1,1,0,0,20,7,37,17,32,143,65,3
2024-08-23,Cal Poly Mustangs - UCLA Bruins 0:1,United States. NCAA D1 Non-conference matches (W),94,Cal Poly Mustangs,4-1-4-1 (100.0%),0,0.55,5,1,3,1,27,3,1,1,20,1,0,0,0,0,9,2,21,4,8,73,22,0
2024-08-18,UCLA Bruins - UC Riverside Highlanders 3:0,United States. NCAA D1 Non-conference matches (W),101,UCLA Bruins,4-1-4-1 (100.0%),3,2.41,25,5,16,3,59,18,0,0,18,6,3,0,0,0,25,9,32,10,32,121,57,1
2024-08-18,UCLA Bruins - UC Riverside Highlanders 3:0,United States. NCAA D1 Non-conference matches (W),101,UC Riverside Highlanders,5-4-1 (100.0%),0,0,1,0,1,0,10,0,0,0,25,1,1,1,0,0,0,0,8,0,0,60,15,2
2024-08-16,Long Beach State University - UCLA Bruins 0:3,United States. NCAA D1 Non-conference matches (W),100,UCLA Bruins,4-1-4-1 (100.0%),3,4.21,22,10,10,2,53,16,0,0,23,4,2,0,0,0,15,7,31,10,23,115,34,1
2024-08-16,Long Beach State University - UCLA Bruins 0:3,United States. NCAA D1 Non-conference matches (W),100,Long Beach State University,4-2-3-1 (100.0%),0,0.08,2,0,1,0,19,1,0,0,23,1,3,0,0,0,6,0,7,1,2,73,25,3
